Frecuencia [Hz],Zin [Ohm],Zin_p [deg]
0.10524464317340557,151223794.6681043,90.0000000087542
0.10529312128434408,151154169.57004413,90.00000000875824
0.10534162172541903,151084576.52814478,90.00000000876226
0.10539014450691618,151015015.5276473,90.00000000876629
0.10543868963912605,150945486.55379933,90.00000000877033
0.10548725713234387,150875989.5918556,90.00000000877438
0.10553584699686967,150806524.62707734,90.00000000877841
0.10558445924300817,150737091.64473274,90.00000000878245
0.10563309388106887,150667690.63009688,90.0000000087865
0.105681750921366,150598321.56845126,90.00000000879055
0.10573043037421855,150528984.44508445,90.0000000087946
0.10577913224995025,150459679.24529177,90.00000000879865
0.10582785655888961,150390405.9543752,90.0000000088027
0.10587660331136987,150321164.5576436,90.00000000880677
0.10592537251772906,150251955.04041246,90.00000000881082
0.10597416418830993,150182777.38800415,90.00000000881487
